RUC,NOMBRE O RAZÓN SOCIAL,ESTADO DEL CONTRIBUYENTE,CONDICIÓN DE DOMICILIO,UBIGEO,DIRECCIÓN
20100055661,GRUPO BVL S.A.A.,ACTIVO,HABIDO,150131,AV. JORGE BASADRE GROHMANN URB. ORRANTIA 347 801
20431115825,PACIFICO S.A. ENT. PRESTADORA DE SALUD,ACTIVO,HABIDO,150131,AV. JUAN DE ARONA 720 501
20262463771,REPSOL ENERGY PERU S.A.C.,ACTIVO,HABIDO,150131,AV. AV. VICTOR ANDRES BELAUND ---- VIA REAL 185\, EDIFICIO RE 147
20459027654,A.F. FILMS S.A.,ACTIVO,HABIDO,150131,AV. CAMINO REAL URB. CENTRO COMERCIAL CAMINO R 456 1301
20501961869,LATINTECNA S.A,ACTIVO,HABIDO,150131,CAL. LA HABANA URB. SANTA CRUZ 192
20501426041,SERVICIOS MULTIMEDIA S.A.C.,ACTIVO,HABIDO,150131,CAL. GERMAN SCHREIBER GULSMANC 276
20499432021,TRANSPORTADORA DE GAS DEL PERU S.A.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. LIMATAMBO 3461 401
20296637697,BIDDLE INC S.A.C.,ACTIVO,HABIDO,150131,CAL. RICARDO J. ANGULO RAMIREZ URB. CORPAC 713
20100094216,CONSORCIO ENERGETICO DE HUANCAVELICA S A,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 415 P-19
20100041449,IBERIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA SUCURSAL DEL PERU,ACTIVO,HABIDO,150131,AV. CAMINO REAL URB. CENTRO COMERCIAL CAMINO R 390 902
20100030838,G.W. YICHANG & CIA S.A.,ACTIVO,HABIDO,150131,JR. CARLOS NEUHAUS RIZO PATRO URB. CORPAC 125
20100032709,I Q F DEL PERU SA,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES GARCIA BELA OTR. CENTRO EMPRESARIAL REAL 147 902
20499433698,TECPETROL DEL PERU S.A.C.,ACTIVO,HABIDO,150131,AV. RIVERA NAVARRETE URB. JARDIN 475 1201
20253757931,ABENGOA PERU S.A.,ACTIVO,HABIDO,150131,AV. CAMINO REAL URB. CENTRO COMERCIAL CAMINO R 456 1202
20100045517,MOTA-ENGIL PERU S.A.,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE 444 2201
20259829594,REFINERIA LA PAMPILLA S.A.A,ACTIVO,HABIDO,150131,AV. VICTOR ANDRÉS BELAUNDE ---- VIA REAL 185\, EDIFICIO RE 147
20331898008,LUZ DEL SUR S.A.A.,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA 380
20107974467,COMPAÑIA INTERNACIONAL DEL CAFE SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA 465 702A
20297660536,AGUAYTIA ENERGY DEL PERU S.R.L.,ACTIVO,HABIDO,150131,AV. SANTO TORIBIO 173 1502
20329560687,POSCO INTERNATIONAL CORPORATION SUCURSAL PERUANA,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE -V 147 701
20100168350,TEXTIL SAN CRISTOBAL S.A. EN LIQUIDACION,ACTIVO,HABIDO,150131,CAL. JUAN DEL CARPIO URB. CHACARILLA DE SANTA CRUZ 115
20509709573,ISOPETROL LUBRICANTS DEL PERU S.A.C.,ACTIVO,HABIDO,150131,JR. ÓSCAR AVILÉS URB. CORPAC 195 201
20100085578,REPUESTOS NUEVOS S A (RENU S A ),ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. LIMATAMBO 3591 1601
20100094135,EXSA S A,ACTIVO,HABIDO,150131,AV. DIONISIO DERTEANO URB. SANTA ANA 144 P19
20100102413,UNIQUE S.A.,ACTIVO,HABIDO,150131,AV. JORGE BASADRE URB. ORRANTIA 592
20100114420,ANDINA DE RADIODIFUSION S.A.C.,ACTIVO,HABIDO,150131,AV. AREQUIPA 3570
20503382742,LA LLAVE S.A.,ACTIVO,HABIDO,150131,AV. JUAN DE ARONA 151 505
20107007441,ALPHA CONSULT S.A.,ACTIVO,HABIDO,150131,AV. PABLO CARRIQUIRRY 455 11
20510398158,PRIMA AFP S.A.,ACTIVO,HABIDO,150131,AV. JUAN DE ARONA 830
20206553481,MINERA FREEPORT-MCMORAN SOUTH AMERICA S.A.C.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE 147 503
20100116392,CORPORACION FINANCIERA DE DESARROLLO S.A .,ACTIVO,HABIDO,150131,JR. AUGUSTO TAMAYO URB. CHACARILLA SANTA CRUZ 160
20100119227,3M PERU S A,ACTIVO,HABIDO,150131,AV. REPUBLICA DE COLOMBIA 717 1201
20100122368,CLINICA JAVIER PRADO S A,ACTIVO,HABIDO,150131,CAL. LAS ORQUIDEAS 365
20100127670,PFIZER S A,ACTIVO,HABIDO,150131,CAL. LAS ORQUIDEAS URB. JARDIN 585 701
20512365648,MINERA LA GRANJA S.A.C.,ACTIVO,HABIDO,150131,CAL. ESQUILACHE 371 1401
20514668885,CROSLAND REPUESTOS S.A.C.,ACTIVO,HABIDO,150131,AV. AUGUSTO PEREZ ARANIBAR 1872
20506285314,COMPAÑIA MINERA MISKI MAYO S.R.L.,ACTIVO,HABIDO,150131,CAL. DIONISIO DERTEANO URB. SANTA ANA 184 301
20101026001,CERAMICA LIMA S A,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA URB. JARDIN 198
20101070671,AMERICAN AIRLINES INC. SUCURSAL DEL PERU,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA RES. SAN ISIDRO 380 4
20513074370,BANCO GNB PERU S.A.,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 415
20103733015,HONDA DEL PERU S.A,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. LIMATAMBO 3545 501
20142829551,PROFUTURO AFP,ACTIVO,HABIDO,150131,CAL. CORONEL ANDRES REYES URB. JARDIN 489
20506675457,MINERA CHINALCO PERÚ S.A.,ACTIVO,HABIDO,150131,AV. SANTA CRUZ 180
20203058781,NOREX ENERGIA S.A.,ACTIVO,HABIDO,150131,AV. SANTO TORIBIO URB. EL ROSARIO 173
20513645547,ASTRAZENECA PERU S.A.,ACTIVO,HABIDO,150131,CAL. LAS ORQUIDEAS 675 802
20297995635,UNITED AIRLINES INC. SUCURSAL DEL PERU,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE URB. EL ROSARIO 147
20333363900,ENGIE ENERGIA PERU S.A.A.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. CORPAC 3490
20338054115,AUSTRAL GROUP S.A.A,ACTIVO,HABIDO,150131,AV. VICTOR A. BELAUNDE ---- CC.EMPRESARIAL REAL 147
20100120314,COMPAÑIA MINERA SANTA LUISA S.A.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. LIMATAMBO 3531 1501
20337564373,TIENDAS POR DEPARTAMENTO RIPLEY S.A.C.,ACTIVO,HABIDO,150131,AV. LAS BEGONIAS URB. JARDIN 545
20418354781,ANIXTER PERU S.A.C.,ACTIVO,HABIDO,150131,AV. REPÚBLICA DE COLOMBIA 717 B-A 1201
20467675436,OPTICAS GMO PERU S.A.C,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA URB. JARDIN 223 1201
20100331285,ILENDER PERU S.A,ACTIVO,HABIDO,150131,CAL. DOS URB. CORPAC 199
20500854651,COMPAÑIA OPERADORA DE GAS S.A.C.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. LIMATAMBO 3461 401
20423195119,GILAT TO HOME PERU S.A.,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA 339
20416191809,MADERAS Y SINTETICOS DEL PERU S.A.C.,ACTIVO,HABIDO,150131,CAL. CORONEL ANDRES REYES URB. JARDIN 360
20372706288,SONY PERU  S.R.L.,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA 285
20383316473,CONSORCIO TRANSMANTARO S.A.,ACTIVO,HABIDO,150131,AV. MRCAL ANDRES DE SANTA CRU URB. SAN ISIDRO 120
20334766714,INVERSIONES LA RIOJA S.A.C.,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 415
20335020872,HEWLETT - PACKARD PERU S.R.L.,ACTIVO,HABIDO,150131,AV. JORGE BASADRE 349
20383773378,SONDA DEL PERU S.A.,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE 444 1601
20191308868,ARCOR DE PERU S A,ACTIVO,HABIDO,150131,AV. GUILLERMO PRESCOTT 325
20100132592,TOYOTA DEL PERU S A,ACTIVO,HABIDO,150131,AV. SANTO TORIBIO 173 PI14
20100142393,SINDICATO MINERO DE ORCOPAMPA SA,ACTIVO,HABIDO,150131,JR. LIZARDO ALZAMORA OESTE 220
20514720127,NEWELL BRANDS DE PERU S.A.C.,ACTIVO,HABIDO,150131,AV. MIGUEL DASSO URB. SANTA ISABEL 104 701
20380336384,PESQUERA EXALMAR S.A.A.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE RES. CENTRO EMPRESARIAL UMAYUQ 214 201
20513320753,REPSOL MARKETING S.A.C.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE ---- VIA REAL 185\, EDIFICIO RE 147
20254138577,MICROSOFT PERU S.R.L.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE 147 9
20255993225,SANTANDER CONSUMER BANK S.A.,ACTIVO,HABIDO,150131,AV. PASEO DE LA REPUBLICA 3587 PIS1
20258262728,REPSOL EXPLORACION PERU SUCURSAL DEL PER U,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE ---- VIA REAL 185\, EDIFICIO RE 147
20100096936,ABBOTT LABORATORIOS SA,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA 3591 PS 7
20212561534,ALCON PHARMACEUTICAL DEL PERU SA,ACTIVO,HABIDO,150131,AV. LAS BEGONIAS URB. JARDIN 441 347
20507398210,CROSLAND MOTOS S.A.C.,ACTIVO,HABIDO,150131,AV. AUGUSTO PEREZ ARANIBAR 1872
20428698569,AMERICATEL PERU S.A.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE COLOMBIA 791 18
20507314644,GAMING AND TECHNOLOGY PERU S.A.C.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA 3030 PIS4
20509507199,BANCO DE COMERCIO,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA 452
20507646728,HUAWEI DEL PERU SAC,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 415 2301
20107945874,IDEAS APLICADAS SA,ACTIVO,HABIDO,150131,AV. 2 DE MAYO 308
20113439964,SOCIEDAD NACIONAL DE INDUSTRIAS,ACTIVO,HABIDO,150131,CAL. LOS LAURELES URB. ORRANTIA 365
20100266874,BISA INGENIERIA DE PROYECTOS S.A.,ACTIVO,HABIDO,150131,AV. ANDRES REYES 338 109
20473159644,CAFETALERA AMAZONICA S.A.C.,ACTIVO,HABIDO,150131,CAL. CORONEL ANDRES REYES URB. JARDIN 360 403
20516023318,COBRE DEL NORTE SA,ACTIVO,HABIDO,150131,CAL. ESQUILACHE 371
20379251286,ARAUCO PERU S.A.,ACTIVO,HABIDO,150131,CAL. ESQUILACHE 371
20100114934,ADMINISTRACION DE EMPRESAS S.A.C.,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS URB. JARDIN 441 1401
20100115400,CASTROL DEL PERU S.A.C.,ACTIVO,HABIDO,150131,AV. CAMINO REAL URB. CENTRO COMERCIAL CAMINO R 456 1202
20337996834,FINANCIERA TFC S.A. EN LIQUIDACION,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE 560 601
20221084684,REDONDOS S A,ACTIVO,HABIDO,150131,AV. LOS CONQUISTADORES 1118 501
20513020792,NEWPORT CAPITAL S.A.C.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA 3030
20508499702,COMPASS - FONDO DE INVERSION PARA PYMES,ACTIVO,HABIDO,150131,AV. JORGE BASADRE GROHMANN URB. ORRANTIA 347 902
20301171316,CONSTRUCOES E COM.CAMARGO CORREA SA SUC.,ACTIVO,HABIDO,150131,---- CAMINO REAL 456 1201
20100127165,PROCTER & GAMBLE PERU S.R.L.,ACTIVO,HABIDO,150131,AV. JUAN DE ARONA 151 302
20467685661,HUNT OIL COMPANY OF PERU LLC SUCURSAL DEL PERU,ACTIVO,HABIDO,150131,CAL. LAS PALMERAS URB. EL ROSARIO 435 302
20467737300,CIA DE SERVICIOS CONEXOS EXPRESSNET SAC,ACTIVO,HABIDO,150131,AV. JUAN DE ARONA 755
20346662612,GOLDEN INVESTMENT S.A.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA 3030
20100121809,ADMINISTRADORA CLINICA RICARDO PALMA S.A.,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE URB. CORPAC 1066
20510625235,SERVICIOS AEREOS DE LOS ANDES S.A.C.,ACTIVO,HABIDO,150131,CAL. CORONEL ANDRES REYES URB. JARDIN 437 201
20390625007,CHUBB PERU S.A. COMPAÑIA DE SEGUROS Y REASEGUROS,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA 267 402
20107290177,MINERA COLQUISIRI S.A.,ACTIVO,HABIDO,150131,AV. DEL PARQUE NORTE URB. CORPAC 724
20512780114,CICSA PERU S.A.C.,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA 267
20518402839,NESTLE MARCAS PERU S.A.C.,ACTIVO,HABIDO,150131,AV. CAMINO REAL 1053 1001
20209133394,MINERA BOROO MISQUICHILCA S.A.,ACTIVO,HABIDO,150131,AV. STO TORIBIO URB. FUNDO CONDE DE SAN ISIDRO 173 901
20512481125,COMPAñIA ELECTRICA EL PLATANAL S.A.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE COLOMBIA 791 602
20491881888,CONSORCIO HUACHIPA,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE 312 402
20473806186,NOKIA SOLUTIONS AND NETWORKS PERU S.A.,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE 444
20100177421,COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.,ACTIVO,HABIDO,150131,CAL. MANUEL AUGUSTO GONZALES O URB. LIMATAMBO 448
20100118506,HALLIBURTON DEL PERU SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA EN LIQUIDACION,ACTIVO,HABIDO,150131,CAL. GERMAN SCHEREIBER URB. SANTA ANA 276
20386636070,ALGECIRAS INVERSIONES S.A.C,ACTIVO,HABIDO,150131,AV. JORGE BASADRE 347 204
20162348931,AGROINPER S.A.,ACTIVO,HABIDO,150131,CAL. DEAN VALDIVIA URB. JARDIN 148 701
20474529291,E-BUSINESS DISTRIBUTION PERU S.A.- EBD PERU S.A.,ACTIVO,HABIDO,150131,AV. JOSE GALVEZ BARRENECHEA URB. CORPAC 996
20422561537,IMPULSO INFORMATICO S.A.,ACTIVO,HABIDO,150131,AV. AREQUIPA 2923
20100017572,SOCIEDAD MINERA EL BROCAL S.A.A.,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 415 P-19
20100022142,ABB S.A.,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE URB. JARDIN 444 601
20445276007,ALBERTO CHILON S.A.C.,ACTIVO,HABIDO,150131,AV. JORGE BASADRE 255 704
20297885538,HOTELERA COSTA DEL PACIFICO S.A.,ACTIVO,HABIDO,150131,AV. SANTO TORIBIO URB. EL ROSARIO 173
20299935648,SK INNOVATION SUCURSAL PERUANA,ACTIVO,HABIDO,150131,CAL. LAS PALMERAS 435 401
20515956701,WRS PERU S.R.L.,ACTIVO,HABIDO,150131,AV. REPÚBLICA DE PANAMÁ URB. LIMATAMBO 3535 403
20330791170,MINERA  ENPROYEC  SAC,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE 175 701
20100079501,COMPAñIA DE MINAS BUENAVENTURA S.A.A.,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 415 P-19
20511130124,INTERSUR CONCESIONES S.A.,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA 267 802
20100096855,SANOFI-AVENTIS DEL PERU S.A,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE URB. JARDÍN 444 1501
20259880603,TERPEL COMERCIAL DEL PERU S.R.L.,ACTIVO,HABIDO,150131,AV. JORGE BASADRE GROHMANN 347 1005
20100041953,RIMAC SEGUROS Y REASEGUROS,ACTIVO,HABIDO,150131,CAL. EL PARQUE URB. JARDIN 149 PIS2
20100043140,SCOTIABANK PERU SAA,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA 522
20100047722,INMOBILIARIA VENCEDOR S.A.C.,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS URB. LA VICTORIA 415
20100333652,AUGUSTO BEDOYA S A,ACTIVO,HABIDO,150131,AV. JAVIER PRADO OESTE URB. ORRANTIA 410
20118380224,GUTIERREZ RIOS Y ASOCIADOS SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE URB. JARDIN 560 1204
20137522811,SAVE THE CHILDREN SUECIA,ACTIVO,HABIDO,150131,AV. JAVIER PRADO OESTE URB. ORRANTIA 820
20101017789,COMERCIAL MADERERA RIMAC S A COMARSA,ACTIVO,HABIDO,150131,CAL. CASTAÑITAS 138
20100851106,TECNOMED S A,ACTIVO,HABIDO,150131,AV. GUARDIA CIVIL URB. CORPAC 270
20207553698,PROGRAMA NACIONAL DE SANEAMIENTO URBANO,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA 3650
20338205261,INTELIGO SOCIEDAD AGENTE DE BOLSA S.A.,ACTIVO,HABIDO,150131,AV. R.RIVERA NAVARRETE 501 21-P
20100101956,BARCINO S.A.C.,ACTIVO,HABIDO,150131,JR. ÓSCAR AVILÉS URB. CORPAC 195 401
20100082391,COSAPI S A,ACTIVO,HABIDO,150131,AV. REPÚBLICA DE COLOMBIA URB. CHACARILLA DE SANTA CRUZ 791
20100096341,BAYER S.A.,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA URB. JARDIN 223 802
20100116635,CITIBANK DEL PERU S.A.,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA 480 301
20100123330,DELOSI S.A.,ACTIVO,HABIDO,150131,AV. JAVIER PRADO OESTE 1650
20100123682,GLAXOSMITHKLINE PERU S.A.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE 147 07
20100128056,SAGA FALABELLA S A,ACTIVO,HABIDO,150131,AV. PASEO DE LA REPUBLICA URB. JARDIN 3220
20100130204,BANCO BBVA PERU,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. EL PALOMAR 3055
20100131359,DATACONT S.A.C.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. EL PALOMAR 3517 9
20100131863,RENA WARE DEL PERU S A,ACTIVO,HABIDO,150131,AV. JORGE BASADRE 152
20100141583,FARMEX S A,ACTIVO,HABIDO,150131,CAL. DEAN VALDIVIA URB. JARDIN 148 07
20504565794,BANCO AGROPECUARIO,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. LIMATAMBO 3531 901
20346669625,CAVALI S.A. I.C.L.V.,ACTIVO,HABIDO,150131,AV. JORGE BASADRE GROHMANN URB. ORRANTIA 347 801
20372399687,MERCK SHARP & DOHME SALUD ANIMAL PERU S.A.,ACTIVO,HABIDO,150131,CAL. ANDRÉS REYES 338 W101
20512797785,CONSORCIO CONSTRUCTOR TRAMO 4,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REINA URB. JARDIN 267 802
20102283440,CIA CONSTRUCTORA STEINEGGER INGS SAC,ACTIVO,HABIDO,150131,AV. CONQUISTADORES 853
20205557181,INSTITUTO OFTALMOSALUD SOCIEDAD ANONIMA CERRADA,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE URB. CORPAC 1148 901
20509656607,CNO S.A. SUCURSAL PERU,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE RES. CENTRO EMP.SAN ISIDRO 280 501
20101036813,BANCO INTERAMERICANO DE FINANZAS,ACTIVO,HABIDO,150131,AV. RICARDO RIVERA NAVARRETE 600
20100335604,PUBLICIS ASOCIADOS S.A.C,ACTIVO,HABIDO,150131,CAL. LOS EUCALIPTOS 245
20500985322,MACHU PICCHU FOODS S.A.C.,ACTIVO,HABIDO,150131,AV. CÁDIZ URB. COUNTRY CLUB 206 208
20388829452,LASINO S.A.,ACTIVO,HABIDO,150131,AV. JAVIER PRADO OESTE 1650
20499974770,GIVAUDAN PERU S.A.C.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE 147 1101
20137109612,VM CONSULTORES DE INGENIERIA SOCIEDAD ANONIMA,ACTIVO,HABIDO,150131,AV. RICARDO RIVERA NAVARRETE URB. JARDIN 395 2203
20100460255,KAEFER KOSTEC S.A.C. EN LIQUIDACION,ACTIVO,HABIDO,150131,CAL. GERMAN SCHEREIBER URB. SANTA ANA 276 240
20102027281,NOGAL S A EN LIQUIDACION,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 444
20512049991,CONSORCIO CONSTRUCTOR IIRSA NORTE,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE RES. CENTRO EMPRESARIAL 280 502
20157036794,AFP INTEGRA S A,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA URB. EL PALOMAR 522 P6Y5
20126212055,BARRIGA SALAZAR MEDICOS ASOC. S.CIVIL RL,ACTIVO,HABIDO,150131,CAL. LOS MILANOS URB. EL PALOMAR 123 601
20101060013,INMOBILIARIA Y CONSTRUCTORA ALAMEDA JOSE PARDO S.A.C.,ACTIVO,HABIDO,150131,AV. FELIPE PARDO Y ALIAGA URB. CHACARILLA DE SANTA CRUZ 640 1501
20134223031,L Y L CONTRATISTAS GENERALES S.A. EN LIQUIDACIÓN,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA 654 5
20136847237,INMOBILIARIA DE TURISMO S A,ACTIVO,HABIDO,150131,CAL. PANCHO FIERRO URB. EL OLIVAR 194
20502148347,DERMODIS SAC,ACTIVO,HABIDO,150131,CAL. DEAN VALDIVIA URB. JARDINES 148 201B
20143547788,LIMA GOLF CLUB,ACTIVO,HABIDO,150131,AV. CAMINO REAL 770
